title,duration,genre,imdb_rating,metascore_rating,votes
The Promised Neverland,30 min,"Animation, Fantasy, Horror",8.8,,"9,492"
Holiday in the Wild,85 min,"Comedy, Drama, Romance",6.1,,"9,483"
The Rat,11 min,"Short, Drama",2.9,,"9,479"
Better Call Saul,54 min,"Crime, Drama",9.8,,"9,476"
"Love, Death & Robots",16 min,"Animation, Short, Comedy",7.5,,"9,471"
The Last Summer,109 min,Comedy,5.6,,"9,462"
I See You,96 min,"Crime, Drama, Horror",6.7,65,"9,462"
Escape from Pretoria,106 min,Thriller,6.8,56,"9,446"
Knock Down the House,87 min,Documentary,6.9,80,"9,389"
Attack on Titan,24 min,"Animation, Action, Adventure",9.9,,"9,363"
Monos,102 min,"Adventure, Drama, Thriller",7.1,78,"9,247"
Paddleton,89 min,"Comedy, Drama",7.2,70,"9,172"
3 from Hell,115 min,Horror,5.6,50,"9,170"
Bala,133 min,Comedy,7.4,,"9,092"
Little,109 min,"Comedy, Fantasy, Romance",5.4,49,"9,073"
Jinn,30 min,"Drama, Fantasy, Horror",3.5,,"9,060"
Bigil,179 min,"Action, Drama, Sport",6.9,,"9,058"
"Love, Death & Robots",16 min,"Animation, Short, Comedy",8.1,,"8,966"
"Love, Death & Robots",10 min,"Animation, Short, Comedy",7.5,,"8,956"
Avenue 5,,"Comedy, Sci-Fi",6.4,,"8,887"
"Love, Death & Robots",11 min,"Animation, Short, Comedy",6.3,,"8,860"
"Love, Death & Robots",15 min,"Animation, Short, Comedy",7.5,,"8,810"
A Fall from Grace,115 min,"Drama, Thriller",5.8,34,"8,808"
The Banker,120 min,Drama,7.2,59,"8,775"
Better Call Saul,59 min,"Crime, Drama",9.8,,"8,766"
"Love, Death & Robots",11 min,"Animation, Short, Comedy",7.0,,"8,738"
Virgin River,44 min,"Drama, Romance",7.5,,"8,728"
The Room,100 min,"Drama, Mystery, Sci-Fi",6.0,,"8,724"
"Love, Death & Robots",10 min,"Animation, Short, Comedy",6.4,,"8,677"
Polaroid,88 min,"Drama, Horror, Mystery",5.1,,"8,670"
Avengement,90 min,"Action, Crime, Thriller",6.5,63,"8,668"
The Walking Dead,57 min,"Drama, Horror, Thriller",9.4,,"8,666"
Delhi Crime,50 min,"Crime, Drama",8.5,,"8,652"
The Occupant,103 min,"Drama, Thriller",6.3,,"8,636"
Wonder Park,85 min,"Animation, Adventure, Comedy",5.8,45,"8,556"
Section 375,124 min,"Crime, Drama",8.1,,"8,503"
Tell Me Who I Am,85 min,"Documentary, Drama, Mystery",7.6,69,"8,475"
Wu Assassins,44 min,"Action, Crime, Drama",6.4,,"8,452"
Attack on Titan,24 min,"Animation, Action, Adventure",9.9,,"8,418"
Diego Maradona,130 min,"Documentary, Biography, Sport",7.7,78,"8,392"
Housefull 4,145 min,"Action, Comedy, Fantasy",3.4,,"8,314"
The Loudest Voice,50 min,"Biography, Drama",7.9,,"8,298"
Triple Threat,96 min,"Action, Thriller",5.5,60,"8,270"
"Love, Death & Robots",8 min,"Animation, Short, Comedy",6.4,,"8,261"
Coffee & Kareem,88 min,"Action, Comedy",5.1,35,"8,255"
Rick and Morty,22 min,"Animation, Adventure, Comedy",9.1,,"8,212"
Dabangg 3,160 min,"Action, Comedy",3.4,,"8,188"
Project Blue Book,45 min,"Drama, Mystery, Sci-Fi",7.6,,"8,174"
Otherhood,100 min,Comedy,6.0,38,"8,135"
Special OPS,49 min,"Action, Thriller",8.7,,"8,133"
Bad Education,108 min,"Biography, Comedy, Crime",7.2,79,"8,127"
Prodigal Son,44 min,"Crime, Drama, Mystery",7.7,,"8,121"
Batla House,146 min,"Action, Drama, Thriller",7.2,,"8,115"
Mr. Robot,47 min,"Crime, Drama, Thriller",9.8,,"8,111"
Guava Island,55 min,"Comedy, Drama, Music",6.7,,"8,043"
The New Pope,60 min,Drama,8.2,,"8,039"
Mr. Robot,49 min,"Crime, Drama, Thriller",9.8,,"7,998"
The Mustang,96 min,Drama,6.9,77,"7,994"
Manikarnika: The Queen of Jhansi,148 min,"Action, Biography, Drama",6.4,,"7,986"
The Lodge,108 min,"Drama, Horror, Thriller",6.2,64,"7,977"
For All Mankind,60 min,"Drama, Sci-Fi",7.4,,"7,957"
Anima,15 min,"Short, Music",7.7,,"7,933"
"Love, Death & Robots",9 min,"Animation, Short, Comedy",6.4,,"7,799"
BoJack Horseman,26 min,"Animation, Comedy, Drama",9.9,,"7,792"
See You Yesterday,84 min,"Action, Adventure, Crime",5.1,74,"7,771"
The Last Dance,60 min,Documentary,9.5,,"7,756"
Light of My Life,119 min,"Drama, Sci-Fi, Thriller",6.6,67,"7,754"
Watchmen,61 min,"Action, Drama, Mystery",8.0,,"7,711"
Whiskey Cavalier,60 min,"Action, Adventure, Comedy",7.1,,"7,658"
Criminal: UK,59 min,"Crime, Drama, Mystery",7.4,,"7,655"
Spinning Out,48 min,"Drama, Sport",7.7,,"7,645"
The English Game,,"Drama, History, Sport",7.6,,"7,575"
Raising Dion,50 min,"Drama, Sci-Fi",7.2,,"7,574"
"Roswell, New Mexico",45 min,"Drama, Romance, Sci-Fi",6.1,,"7,554"
The Devil Next Door,229 min,"Documentary, Crime",7.6,,"7,495"
Playing with Fire,96 min,"Comedy, Family",4.9,24,"7,494"
Black Christmas,92 min,"Horror, Mystery, Thriller",3.2,49,"7,440"
Westworld,68 min,"Drama, Mystery, Sci-Fi",8.6,,"7,417"
Gentleman Jack,60 min,"Biography, Drama, History",8.2,,"7,416"
Petta,171 min,"Action, Drama",7.3,,"7,400"
Bard of Blood,45 min,"Action, Adventure, Drama",7.0,,"7,381"
Luka Chuppi,126 min,"Comedy, Romance",6.3,,"7,347"
An Officer and a Spy,132 min,"Drama, History, Thriller",7.2,56,"7,320"
Iron Sky: The Coming Race,90 min,"Action, Adventure, Comedy",5.0,,"7,305"
The Tashkent Files,134 min,"Drama, Mystery, Thriller",7.8,,"7,288"
Miracle Workers,30 min,"Comedy, Drama, Fantasy",7.0,,"7,266"
Lucifer,55 min,"Crime, Drama, Fantasy",9.7,,"7,215"
True Detective,59 min,"Crime, Drama, Mystery",8.7,,"7,204"
Batman vs Teenage Mutant Ninja Turtles,87 min,"Animation, Action, Adventure",7.1,,"7,203"
Karakomik Filmler: 2 Arada,60 min,"Comedy, Drama",6.4,,"7,158"
Bill Burr: Paper Tiger,67 min,Comedy,8.2,,"7,156"
Angrezi Medium,145 min,"Comedy, Drama",7.4,,"7,148"
"Oh, Ramona!",109 min,"Comedy, Romance",4.9,,"7,141"
The Best of Enemies,133 min,"Biography, Drama, History",7.1,49,"7,138"
Asuran,141 min,"Action, Drama",8.6,,"7,119"
Enes Batur 2,99 min,Comedy,3.0,,"7,110"
Breakthrough,116 min,"Biography, Drama",6.1,46,"7,090"
Why Women Kill,,"Comedy, Crime, Drama",8.3,,"7,049"
Inside Bill's Brain: Decoding Bill Gates,52 min,Documentary,8.0,,"7,004"
Freud,55 min,Crime,6.6,,"7,000"
Angel of Mine,98 min,"Drama, Mystery, Thriller",6.5,47,"7,000"
The Golden Glove,115 min,"Crime, Drama, Horror",6.7,38,"6,988"
Leila,48 min,"Drama, Sci-Fi",4.7,,"6,987"
Miss Bala,104 min,"Action, Crime, Drama",5.7,41,"6,973"
The Souvenir,120 min,"Drama, Mystery, Romance",6.5,91,"6,940"
Evil,42 min,"Crime, Drama, Horror",7.6,,"6,919"
Kaithi,145 min,"Action, Thriller",8.5,,"6,917"
Never Have I Ever,30 min,Comedy,8.1,,"6,910"
The Widow,60 min,Thriller,6.9,,"6,900"
Dark,57 min,"Crime, Drama, Mystery",9.5,,"6,874"
The Inventor: Out for Blood in Silicon Valley,119 min,Documentary,7.1,66,"6,865"
Vinland Saga,24 min,"Animation, Action, Adventure",8.9,,"6,834"
Luce,109 min,Drama,6.7,72,"6,788"
October Faction,39 min,"Drama, Horror, Sci-Fi",6.1,,"6,786"
A Christmas Carol,173 min,"Drama, Fantasy",7.2,,"6,785"
High Flying Bird,90 min,"Drama, Sport",6.2,78,"6,765"
Killers Anonymous,95 min,"Action, Crime, Mystery",5.3,22,"6,753"
The Disappearance of Madeleine McCann,60 min,"Documentary, Crime, Drama",6.6,,"6,732"
Can You Keep a Secret?,94 min,"Comedy, Romance",5.3,35,"6,708"
The Balkan Line,130 min,"Action, War",6.7,,"6,684"
Outer Banks,50 min,"Action, Crime, Drama",7.7,,"6,677"
Super Deluxe,176 min,"Action, Crime, Drama",8.4,,"6,646"
Watchmen,63 min,"Action, Drama, Mystery",9.5,,"6,638"
The Capture,60 min,"Crime, Mystery, Thriller",7.8,,"6,628"
Made in Heaven,50 min,"Drama, Romance",8.3,,"6,618"
Cinayet Süsü,112 min,Comedy,7.0,,"6,564"
Dark,54 min,"Crime, Drama, Mystery",9.6,,"6,547"
Come to Daddy,96 min,"Comedy, Horror, Thriller",6.0,64,"6,532"
Corpus Christi,115 min,Drama,7.7,77,"6,531"
Trolls World Tour,90 min,"Animation, Adventure, Comedy",6.1,51,"6,525"
Rick and Morty,22 min,"Animation, Adventure, Comedy",8.4,,"6,469"
Danger Close,118 min,"Action, Drama, War",6.9,,"6,469"
A Shaun the Sheep Movie: Farmageddon,86 min,"Animation, Adventure, Comedy",6.9,79,"6,467"
Undercover,50 min,Drama,7.9,,"6,462"
Stumptown,44 min,"Crime, Drama",7.5,,"6,418"
Watchmen,61 min,"Action, Drama, Mystery",9.2,,"6,412"
Doom: Annihilation,96 min,"Action, Adventure, Horror",3.6,,"6,412"
Chambers,60 min,"Drama, Fantasy, Horror",6.5,,"6,411"
Tales from the Loop,50 min,"Drama, Sci-Fi",7.5,,"6,384"
Superman: Red Son,84 min,"Animation, Action, Sci-Fi",6.3,,"6,378"
Pennyworth,60 min,"Action, Crime, Drama",8.0,,"6,375"
Sextuplets,97 min,Comedy,4.4,21,"6,350"
Rattlesnake,85 min,"Drama, Horror, Mystery",4.6,,"6,333"
The Boys,60 min,"Action, Comedy, Crime",8.8,,"6,333"
Rick and Morty,22 min,"Animation, Adventure, Comedy",8.5,,"6,324"
ZeroZeroZero,60 min,Drama,8.2,,"6,309"
Mr. Robot,44 min,"Crime, Drama, Thriller",9.7,,"6,305"
De De Pyaar De,135 min,"Comedy, Romance",6.6,,"6,287"
The Big Bang Theory,23 min,"Comedy, Romance",9.6,,"6,273"
Harley Quinn,23 min,"Animation, Action, Adventure",8.4,,"6,226"
The War of the Worlds,48 min,"Drama, Sci-Fi",5.0,,"6,205"
Lucifer,175 min,"Action, Crime, Drama",7.5,,"6,186"
Dark,53 min,"Crime, Drama, Mystery",8.9,,"6,183"
I Am the Night,60 min,"Crime, Drama, Mystery",7.0,,"6,152"
Wayne,30 min,"Action, Comedy",8.4,,"6,132"
Treadstone,44 min,Action,7.0,,"6,114"
Girl on the Third Floor,93 min,"Drama, Horror, Mystery",4.6,65,"6,111"
Westworld,60 min,"Drama, Mystery, Sci-Fi",9.2,,"6,095"
Dark,60 min,"Crime, Drama, Mystery",9.5,,"6,085"
Justice League vs the Fatal Five,77 min,"Animation, Action, Fantasy",6.5,,"6,024"
The Fanatic,88 min,"Crime, Thriller",4.3,18,"6,003"
For Sama,100 min,"Documentary, War",8.5,89,"5,947"
True Detective,75 min,"Crime, Drama, Mystery",8.0,,"5,941"
Atlantics,106 min,"Drama, Mystery, Romance",6.8,85,"5,931"
The Coldest Game,102 min,Thriller,6.2,,"5,914"
The Accidental Prime Minister,112 min,"Biography, Drama",6.0,,"5,888"
Kumbalangi Nights,135 min,"Comedy, Drama, Romance",8.6,,"5,884"
Turn Up Charlie,30 min,Comedy,7.1,,"5,876"
The Rhythm Section,109 min,"Action, Drama, Mystery",5.2,45,"5,869"
My Spy,99 min,"Action, Comedy, Family",6.2,42,"5,863"
Mortal Kombat Legends: Scorpion's Revenge,80 min,"Animation, Action, Adventure",7.5,,"5,857"
Viswasam,153 min,"Action, Drama",6.7,,"5,819"
Little Fires Everywhere,463 min,Drama,7.7,,"5,804"
And Then We Danced,113 min,"Drama, Romance",7.9,68,"5,803"
Watchmen,55 min,"Action, Drama, Mystery",8.0,,"5,798"
Mr. Robot,52 min,"Crime, Drama, Thriller",9.6,,"5,795"
The Last Boy,87 min,"Drama, Sci-Fi",6.2,,"5,776"
Mardaani 2,103 min,"Action, Crime, Drama",7.4,,"5,751"
The Kid,100 min,"Biography, Drama, Western",5.9,51,"5,748"
Cuck,115 min,"Crime, Drama, Thriller",5.6,40,"5,740"
Too Old to Die Young,758 min,"Crime, Drama, Thriller",7.4,,"5,723"
Sye Raa Narasimha Reddy,167 min,"Action, Adventure, Drama",7.5,,"5,710"
Rick and Morty,22 min,"Animation, Adventure, Comedy",7.5,,"5,695"
Caliphate,,"Drama, Thriller",8.1,,"5,691"
System Crasher,125 min,Drama,7.9,90,"5,678"
Giri/Haji,,"Crime, Drama, Mystery",7.9,,"5,665"
Troop Zero,94 min,"Comedy, Drama, Family",6.9,59,"5,665"
Swallow,94 min,"Drama, Thriller",6.3,65,"5,647"
Westworld,59 min,"Drama, Mystery, Sci-Fi",8.5,,"5,632"
Plus One,98 min,"Comedy, Drama, Romance",6.6,65,"5,632"
True Detective,58 min,"Crime, Drama, Mystery",8.3,,"5,612"
Dark,54 min,"Crime, Drama, Mystery",9.0,,"5,607"
Barry,38 min,"Action, Comedy, Crime",9.8,,"5,584"
Better Call Saul,59 min,"Crime, Drama",9.4,,"5,583"
Watchmen,59 min,"Action, Drama, Mystery",9.1,,"5,548"
Money Heist,50 min,"Action, Crime, Mystery",8.2,,"5,547"
The Traitor,153 min,"Biography, Crime, Drama",7.1,64,"5,545"
Shikara,118 min,"Drama, Romance",3.2,,"5,536"
Four More Shots Please,60 min,"Comedy, Drama, Romance",4.5,,"5,530"
City on a Hill,60 min,"Crime, Drama, Thriller",7.5,,"5,527"
The Turning,94 min,"Drama, Horror, Mystery",3.8,35,"5,524"
The Willoughbys,90 min,"Animation, Adventure, Comedy",6.5,67,"5,521"
Dark,56 min,"Crime, Drama, Mystery",9.2,,"5,512"
Star Trek: Picard,44 min,"Action, Adventure, Drama",8.4,,"5,507"
Self Made: Inspired by the Life of Madam C.J. Walker,191 min,Drama,7.4,,"5,500"
Dark,56 min,"Crime, Drama, Mystery",9.3,,"5,482"
The Hot Zone,43 min,"Drama, Sci-Fi, Thriller",7.3,,"5,471"
Watchmen,53 min,"Action, Drama, Mystery",8.5,,"5,467"
Westworld,58 min,"Drama, Mystery, Sci-Fi",8.4,,"5,465"
AJ and the Queen,52 min,"Adventure, Comedy, Drama",7.6,,"5,447"
Better Call Saul,50 min,"Crime, Drama",9.5,,"5,439"
Queen of Hearts,127 min,Drama,7.2,67,"5,431"
Jersey,157 min,"Drama, Sport",8.6,,"5,406"
Like a Boss,83 min,Comedy,4.4,33,"5,355"
Mr. Robot,60 min,"Crime, Drama, Thriller",9.4,,"5,340"
Game of Thrones: The Last Watch,114 min,Documentary,7.2,,"5,339"
The Sky Is Pink,143 min,"Drama, Family, Romance",7.5,55,"5,336"
Tales of the City,60 min,Drama,7.4,,"5,336"
The Boys,66 min,"Action, Comedy, Crime",9.1,,"5,321"
Karakomik Filmler: Kacamak,60 min,Comedy,5.6,,"5,311"
Brahms: The Boy II,86 min,"Drama, Horror, Mystery",4.5,29,"5,307"
NOS4A2,60 min,"Drama, Fantasy, Horror",6.7,,"5,306"
Dark,58 min,"Crime, Drama, Mystery",9.3,,"5,291"
"The Gangster, the Cop, the Devil",109 min,"Action, Crime, Drama",6.9,65,"5,273"
Homecoming: A Film by Beyoncé,137 min,"Documentary, Music",7.4,,"5,262"
The Boys,59 min,"Action, Comedy, Crime",8.6,,"5,260"
La Belle Époque,115 min,"Comedy, Drama, Romance",7.5,75,"5,248"
Money Heist,60 min,"Action, Crime, Mystery",8.3,,"5,246"
Total Dhamaal,130 min,"Action, Adventure, Comedy",4.3,,"5,220"
Looking for Alaska,50 min,"Drama, Romance",8.1,,"5,207"
Lucifer,48 min,"Crime, Drama, Fantasy",9.2,,"5,206"
Villains,90 min,"Comedy, Drama, Horror",6.2,63,"5,206"
Lucifer,50 min,"Crime, Drama, Fantasy",9.6,,"5,201"
Demon House,111 min,"Documentary, Horror, Mystery",5.2,,"5,197"
The Enemy Within,43 min,Drama,7.1,,"5,190"
Shubh Mangal Zyada Saavdhan,117 min,"Comedy, Romance",5.9,,"5,181"
Westworld,59 min,"Drama, Mystery, Sci-Fi",8.6,,"5,168"
The Blue Elephant 2,130 min,"Drama, Horror, Mystery",8.4,,"5,145"
Watchmen,58 min,"Action, Drama, Mystery",9.0,,"5,142"
Special,15 min,Comedy,7.6,,"5,115"
Ala Vaikunthapurramuloo,163 min,"Action, Drama",7.2,,"5,108"
Baaghi 3,143 min,"Action, Thriller",1.9,,"5,103"
The Walking Dead,46 min,"Drama, Horror, Thriller",7.6,,"5,085"
Criminal Justice,50 min,"Crime, Drama, Mystery",8.1,,"5,068"
American Son,90 min,Drama,5.6,34,"5,059"
The Trials of Gabriel Fernandez,331 min,"Documentary, Crime",8.2,,"5,046"
Rick and Morty,22 min,"Animation, Adventure, Comedy",9.0,,"5,039"
Zoey's Extraordinary Playlist,60 min,"Comedy, Drama, Musical",8.0,,"5,032"
Game Over,102 min,"Drama, Thriller",7.1,,"5,031"
Maharshi,176 min,"Action, Drama",7.3,,"5,006"
Trauma Center,87 min,"Action, Thriller",4.8,,"4,983"
The Boys,56 min,"Action, Comedy, Crime",8.9,,"4,947"
Better Call Saul,54 min,"Crime, Drama",8.9,,"4,933"
Mr. Robot,44 min,"Crime, Drama, Thriller",9.3,,"4,926"
Dracula,88 min,"Drama, Horror",8.1,,"4,913"
The Half of It,104 min,"Comedy, Romance",7.2,75,"4,880"
The Poison Rose,98 min,Thriller,4.6,30,"4,880"
War of the Worlds,49 min,"Drama, Mystery, Sci-Fi",6.2,,"4,878"
The Last Czars,45 min,"Documentary, Drama, History",7.3,,"4,869"
The Boys,54 min,"Action, Comedy, Crime",8.6,,"4,859"
Fyre Fraud,96 min,Documentary,6.8,,"4,839"
Running with the Devil,100 min,"Crime, Drama, Thriller",5.4,42,"4,837"
Just 6.5,131 min,"Action, Crime, Drama",7.9,,"4,822"
The Walking Dead,45 min,"Drama, Horror, Thriller",8.1,,"4,803"
Emergence,43 min,"Drama, Mystery, Sci-Fi",7.2,,"4,801"
Dr. Stone,23 min,"Animation, Action, Adventure",8.2,,"4,800"
True Detective,60 min,"Crime, Drama, Mystery",8.0,,"4,798"
Beforeigners,45 min,"Drama, Sci-Fi",7.9,,"4,796"
Serial (Bad) Weddings 2,99 min,"Comedy, Drama",6.1,,"4,790"
Peaky Blinders,56 min,"Crime, Drama",8.6,,"4,788"
Nerkonda Paarvai,157 min,"Action, Drama, Thriller",8.2,,"4,787"
Mr. Robot,45 min,"Crime, Drama, Thriller",8.4,,"4,787"
PM Narendra Modi,136 min,"Biography, Drama",3.2,,"4,767"
Sanditon,60 min,"Drama, Romance",7.8,,"4,716"
Money Heist,41 min,"Action, Crime, Mystery",8.4,,"4,715"
Crash Landing on You,70 min,"Comedy, Romance",8.9,,"4,712"
The Boys,60 min,"Action, Comedy, Crime",8.5,,"4,707"
Lucifer,49 min,"Crime, Drama, Fantasy",9.3,,"4,692"
The Sun Is Also a Star,100 min,"Drama, Music, Romance",5.8,52,"4,689"
Peaky Blinders,65 min,"Crime, Drama",9.4,,"4,687"
Watchmen,52 min,"Action, Drama, Mystery",8.1,,"4,686"
Too Hot to Handle,40 min,"Game-Show, Reality-TV",4.5,,"4,686"
Attack on Titan,24 min,"Animation, Action, Adventure",9.6,,"4,682"
Ramy,30 min,Comedy,8.0,,"4,666"
UglyDolls,87 min,"Animation, Adventure, Comedy",4.9,39,"4,666"
True Detective,63 min,"Crime, Drama, Mystery",8.5,,"4,665"
Love Aaj Kal,142 min,"Drama, Romance",5.3,,"4,663"
Better Call Saul,53 min,"Crime, Drama",9.2,,"4,635"
Lucifer,51 min,"Crime, Drama, Fantasy",9.3,,"4,635"
Beanpole,130 min,"Drama, War",7.1,84,"4,628"
Attack on Titan,24 min,"Animation, Action, Adventure",9.6,,"4,618"
Attack on Titan,24 min,"Animation, Action, Adventure",9.3,,"4,593"
Sergio,118 min,"Biography, Drama, Romance",6.2,53,"4,590"
Better Call Saul,47 min,"Crime, Drama",9.2,,"4,581"
Home for Christmas,29 min,"Comedy, Drama",7.6,,"4,580"
True Detective,67 min,"Crime, Drama, Mystery",8.2,,"4,571"
The Walking Dead,47 min,"Drama, Horror, Thriller",8.0,,"4,569"
Lucifer,49 min,"Crime, Drama, Fantasy",9.3,,"4,566"
Money Heist,52 min,"Action, Crime, Mystery",7.4,,"4,560"
True Detective,58 min,"Crime, Drama, Mystery",8.7,,"4,557"
Better Call Saul,46 min,"Crime, Drama",8.9,,"4,550"
Attack on Titan,24 min,"Animation, Action, Adventure",9.6,,"4,547"
Pati Patni Aur Woh,126 min,"Comedy, Romance",5.9,,"4,543"
Lucifer,48 min,"Crime, Drama, Fantasy",9.2,,"4,539"
The Walking Dead,41 min,"Drama, Horror, Thriller",8.4,,"4,531"
Watchmen,67 min,"Action, Drama, Mystery",8.8,,"4,527"
Kidnapping Stella,89 min,Thriller,4.8,,"4,527"
Daughter of the Wolf,88 min,"Action, Thriller",5.3,36,"4,525"
Money Heist,45 min,"Action, Crime, Mystery",7.3,,"4,522"
The Letter for the King,,"Action, Adventure, Family",5.9,,"4,520"
The Punisher,53 min,"Action, Adventure, Crime",9.0,,"4,517"
When They See Us,88 min,"Biography, Crime, Drama",9.5,,"4,502"
The Walking Dead,51 min,"Drama, Horror, Thriller",8.0,,"4,501"
Lucifer,48 min,"Crime, Drama, Fantasy",9.4,,"4,499"
Mr. Robot,49 min,"Crime, Drama, Thriller",8.9,,"4,498"
The Valhalla Murders,50 min,"Crime, Drama, Mystery",7.1,,"4,497"
High Seas,50 min,"Crime, Drama, Mystery",6.8,,"4,496"
I Think You Should Leave with Tim Robinson,16 min,Comedy,7.6,,"4,488"
True Detective,59 min,"Crime, Drama, Mystery",8.6,,"4,465"
Chase,84 min,Thriller,6.3,,"4,463"
The Walking Dead,41 min,"Drama, Horror, Thriller",7.9,,"4,457"
Rolling Thunder Revue: A Bob Dylan Story by Martin Scorsese,142 min,"Documentary, Biography, History",7.7,86,"4,454"
Hail Satan?,95 min,Documentary,7.3,76,"4,448"
The Last Laugh,98 min,Comedy,5.6,31,"4,440"
Mr. Robot,46 min,"Crime, Drama, Thriller",9.2,,"4,427"
Çiçero,126 min,"Action, Crime, Drama",6.6,,"4,425"
Money Heist,49 min,"Action, Crime, Mystery",8.4,,"4,423"
Lucifer,50 min,"Crime, Drama, Fantasy",9.3,,"4,422"
The Queen's Corgi,85 min,"Animation, Comedy, Family",4.8,,"4,413"
Drunk Parents,97 min,Comedy,3.8,,"4,410"
Dororo,30 min,"Animation, Action, Adventure",8.4,,"4,408"
The Boys,56 min,"Action, Comedy, Crime",8.9,,"4,401"
Isi & Ossi,113 min,"Comedy, Romance",6.4,,"4,399"
The Confession Killer,240 min,"Documentary, Crime",7.4,,"4,384"
Extreme Job,111 min,"Action, Comedy, Crime",7.1,,"4,381"
Agent Sai Srinivasa Athreya,148 min,"Action, Comedy, Crime",8.5,,"4,379"
Judgementall Hai Kya,121 min,"Comedy, Drama, Mystery",6.0,,"4,374"
Lucifer,50 min,"Crime, Drama, Fantasy",9.2,,"4,367"
The Ruthless,111 min,"Crime, Drama",6.2,,"4,362"
Romeo Akbar Walter,141 min,"Action, Drama, Thriller",6.5,,"4,362"
Hostel Daze,159 min,"Comedy, Drama",8.7,,"4,362"
Dracula,90 min,"Drama, Horror",5.2,,"4,361"
The Decline,83 min,Thriller,5.9,,"4,360"
Money Heist,42 min,"Action, Crime, Mystery",6.9,,"4,347"
"Bikram: Yogi, Guru, Predator",86 min,"Documentary, Crime",6.7,68,"4,341"
Peaky Blinders,58 min,"Crime, Drama",9.0,,"4,336"
Jawaani Jaaneman,119 min,Comedy,6.7,,"4,333"
Money Heist,52 min,"Action, Crime, Mystery",8.2,,"4,333"
The Boys,60 min,"Action, Comedy, Crime",8.4,,"4,316"
Love 101,40 min,"Comedy, Romance",7.7,,"4,293"
Hair Love,7 min,"Animation, Short, Comedy",7.4,,"4,290"
The Outsider,61 min,"Crime, Drama, Fantasy",9.0,,"4,272"
The Walking Dead,51 min,"Drama, Horror, Thriller",7.6,,"4,266"
The Walking Dead,43 min,"Drama, Horror, Thriller",9.2,,"4,264"
Westworld,58 min,"Drama, Mystery, Sci-Fi",8.8,,"4,262"
Invader ZIM: Enter the Florpus,71 min,"Animation, Action, Adventure",7.5,,"4,261"
Once Upon a Time in London,111 min,Crime,6.1,,"4,255"
Dracula,86 min,"Drama, Horror",7.6,,"4,246"
Adults in the Room,124 min,Drama,5.7,,"4,237"
A Little Late with Lilly Singh,30 min,"Comedy, Talk-Show",1.8,,"4,234"
Money Heist,44 min,"Action, Crime, Mystery",8.4,,"4,231"
Money Heist,49 min,"Action, Crime, Mystery",8.0,,"4,231"
The Walking Dead,44 min,"Drama, Horror, Thriller",8.0,,"4,223"
Star Wars Jedi: Fallen Order,,"Action, Adventure, Fantasy",8.7,,"4,214"
Mythic Quest: Raven's Banquet,,Comedy,7.5,,"4,208"
Dangerous Lies,96 min,"Drama, Mystery, Thriller",5.2,49,"4,204"
Attack on Titan,24 min,"Animation, Action, Adventure",9.7,,"4,202"
Dublin Murders,60 min,"Crime, Drama, Thriller",7.1,,"4,197"
Ujda Chaman,120 min,Comedy,7.0,,"4,191"
Mr. Robot,47 min,"Crime, Drama, Thriller",8.9,,"4,176"
Money Heist,43 min,"Action, Crime, Mystery",8.1,,"4,175"
Dear Comrade,169 min,"Action, Drama, Romance",7.3,,"4,170"
Street Dancer 3D,146 min,"Drama, Music",3.6,,"4,158"
Godfather of Harlem,55 min,"Crime, Drama",8.0,,"4,153"
Shrill,30 min,Comedy,7.4,,"4,150"
Sweetheart,82 min,"Adventure, Drama, Horror",5.7,,"4,139"
Money Heist,46 min,"Action, Crime, Mystery",8.3,,"4,138"
Doctor Who,60 min,"Adventure, Drama, Family",6.6,,"4,135"
Dave,30 min,Comedy,8.3,,"4,132"
Mr. Robot,47 min,"Crime, Drama, Thriller",8.9,,"4,129"
Descendants 3,106 min,"Adventure, Family, Musical",6.7,,"4,113"
Extra Ordinary,94 min,"Comedy, Fantasy, Horror",6.4,72,"4,105"
Miami Beach,,Comedy,6.5,,"4,104"
Zana,97 min,Drama,9.1,,"4,101"
Money Heist,44 min,"Action, Crime, Mystery",7.1,,"4,097"
9-1-1: Lone Star,43 min,Drama,6.4,,"4,096"
Avane Srimannarayana,174 min,"Action, Comedy",8.0,,"4,081"
Better Call Saul,50 min,"Crime, Drama",8.7,,"4,076"
Sarileru Neekevvaru,169 min,"Action, Comedy, Drama",6.2,,"4,074"
Heroic Losers,116 min,"Adventure, Comedy, Crime",7.4,,"4,072"
When They See Us,64 min,"Biography, Crime, Drama",9.0,,"4,067"
Fosse/Verdon,60 min,"Biography, Drama, Music",7.9,,"4,065"
Eye for an Eye,107 min,"Drama, Thriller",6.6,,"4,053"
The Twilight Zone,55 min,"Drama, Fantasy, Horror",6.1,,"4,051"
Ne Zha,110 min,"Animation, Action, Adventure",7.5,54,"4,033"
Fisherman's Friends,112 min,"Comedy, Drama, Music",6.9,,"4,028"
The Courier,99 min,"Action, Crime, Drama",5.1,15,"4,026"
Debt Fees,90 min,Comedy,1.4,,"4,023"
The Midnight Gospel,,"Animation, Adventure, Comedy",8.4,,"4,014"
Star Trek: Picard,43 min,"Action, Adventure, Drama",7.4,,"3,996"
The Handmaid's Tale,65 min,"Drama, Sci-Fi, Thriller",9.4,,"3,994"
In the Dark,42 min,"Comedy, Drama",7.3,,"3,990"
