title,duration,genre,imdb_rating,metascore_rating,votes
Maleficent: Mistress of Evil,119 min,"Adventure, Family, Fantasy",6.7,43,"64,364"
Gemini Man,117 min,"Action, Adventure, Drama",5.7,38,"62,828"
After Life,30 min,"Comedy, Drama",8.5,,"62,344"
Dumbo,112 min,"Adventure, Family, Fantasy",6.3,51,"59,383"
Fighting with My Family,108 min,"Biography, Comedy, Drama",7.1,68,"57,809"
Russian Doll,30 min,"Adventure, Comedy, Drama",7.9,,"57,614"
Isn't It Romantic,89 min,"Comedy, Fantasy, Romance",5.9,60,"57,393"
Bombshell,109 min,"Biography, Drama",6.8,64,"56,548"
Unbelievable,385 min,"Crime, Drama",8.4,,"55,656"
Sonic the Hedgehog,99 min,"Action, Adventure, Comedy",6.6,47,"55,283"
Crawl,87 min,"Drama, Horror, Thriller",6.2,60,"52,310"
Onward,102 min,"Animation, Adventure, Comedy",7.5,61,"51,797"
Cold Pursuit,119 min,"Action, Crime, Drama",6.2,57,"50,854"
Spenser Confidential,111 min,"Action, Comedy, Crime",6.2,49,"50,763"
Chernobyl,72 min,"Drama, History, Thriller",9.9,,"50,206"
Velvet Buzzsaw,113 min,"Horror, Mystery, Thriller",5.7,61,"49,448"
Tiger King,317 min,"Documentary, Crime",7.7,,"49,312"
Good Omens,60 min,"Comedy, Fantasy",8.1,,"49,150"
Annabelle Comes Home,106 min,"Horror, Mystery, Thriller",5.9,53,"49,083"
Happy Death Day 2U,100 min,"Comedy, Horror, Mystery",6.2,57,"48,968"
The Lego Movie 2: The Second Part,107 min,"Animation, Action, Adventure",6.6,65,"48,727"
Good Boys,90 min,"Adventure, Comedy",6.7,60,"48,343"
Scary Stories to Tell in the Dark,108 min,"Adventure, Horror, Mystery",6.2,61,"47,958"
Anna,118 min,"Action, Thriller",6.6,40,"47,544"
Chernobyl,58 min,"Drama, History, Thriller",9.5,,"46,355"
The Outsider,60 min,"Crime, Drama, Fantasy",7.9,,"45,074"
Captive State,109 min,"Action, Adventure, Drama",6.0,54,"44,367"
Dolemite Is My Name,118 min,"Biography, Comedy, Drama",7.3,76,"44,347"
Midway,138 min,"Action, Adventure, Drama",6.7,47,"44,116"
Fractured,99 min,"Mystery, Thriller",6.4,36,"43,899"
Chernobyl,65 min,"Drama, History, Thriller",9.7,,"43,847"
Marighella,155 min,"Action, Drama, History",3.0,,"42,539"
The Secret Life of Pets 2,86 min,"Animation, Adventure, Comedy",6.5,55,"42,517"
The Dead Don't Die,104 min,"Comedy, Fantasy, Horror",5.5,53,"41,442"
Chernobyl,65 min,"Drama, History, Thriller",9.6,,"41,115"
Always Be My Maybe,101 min,"Comedy, Romance",6.8,64,"40,360"
The Peanut Butter Falcon,97 min,"Adventure, Comedy, Drama",7.6,70,"40,266"
Euphoria,55 min,Drama,8.3,,"40,013"
Pain and Glory,113 min,Drama,7.6,87,"39,839"
A Beautiful Day in the Neighborhood,109 min,"Biography, Drama",7.3,80,"39,757"
Charlie's Angels,118 min,"Action, Adventure, Comedy",4.6,52,"39,688"
Shaft,111 min,"Action, Comedy, Crime",6.4,40,"39,187"
Uri: The Surgical Strike,138 min,"Action, Drama, War",8.3,,"38,913"
In the Tall Grass,101 min,"Drama, Horror, Mystery",5.4,46,"38,822"
Chernobyl,67 min,"Drama, History, Thriller",9.5,,"38,686"
The Hustle,93 min,"Comedy, Crime",5.4,35,"38,234"
The Farewell,100 min,"Comedy, Drama",7.6,89,"37,773"
Carnival Row,56 min,"Crime, Drama, Fantasy",7.9,,"37,670"
The Laundromat,95 min,"Comedy, Crime, Drama",6.3,57,"37,237"
Child's Play,90 min,"Horror, Sci-Fi",5.8,48,"37,094"
Richard Jewell,131 min,"Biography, Crime, Drama",7.5,68,"37,073"
Dracula,270 min,"Drama, Horror",6.8,,"36,596"
Underwater,95 min,"Action, Drama, Horror",5.9,48,"35,303"
The Dirt,107 min,"Biography, Comedy, Drama",7.0,39,"35,020"
Portrait of a Lady on Fire,122 min,"Drama, Romance",8.2,95,"34,688"
Dead to Me,30 min,"Comedy, Drama",8.1,,"34,163"
Dark Waters,126 min,"Biography, Drama, History",7.6,73,"34,122"
Bloodshot,109 min,"Action, Drama, Sci-Fi",5.7,44,"33,719"
His Dark Materials,60 min,"Adventure, Drama, Family",7.9,,"33,576"
Five Feet Apart,116 min,"Drama, Romance",7.2,53,"33,525"
Last Christmas,103 min,"Comedy, Drama, Romance",6.5,50,"33,285"
In the Shadow of the Moon,115 min,"Crime, Mystery, Sci-Fi",6.2,48,"33,253"
Fyre,97 min,"Documentary, Music",7.2,75,"33,035"
The Morning Show,60 min,Drama,8.4,,"32,991"
The Silence,90 min,"Drama, Horror, Sci-Fi",5.3,25,"32,553"
See,60 min,"Action, Drama, Sci-Fi",7.6,,"32,470"
Star Trek: Picard,46 min,"Action, Adventure, Drama",7.7,,"32,462"
The Curse of la Llorona,93 min,"Horror, Mystery, Thriller",5.3,41,"32,293"
Cats,110 min,"Comedy, Drama, Family",2.7,32,"32,178"
Messiah,43 min,"Drama, Mystery, Thriller",7.7,,"32,162"
Stuber,93 min,"Action, Comedy, Crime",6.1,42,"32,079"
Ma,99 min,"Horror, Mystery, Thriller",5.6,53,"32,075"
Black Mirror,61 min,"Drama, Sci-Fi, Thriller",6.8,,"31,548"
Serenity,106 min,"Drama, Mystery, Thriller",5.3,37,"31,215"
Dolittle,101 min,"Adventure, Comedy, Family",5.6,26,"31,060"
Downton Abbey,122 min,"Drama, Romance",7.4,64,"31,057"
Locke & Key,48 min,"Drama, Fantasy, Horror",7.4,,"30,713"
The Hunt,90 min,"Action, Horror, Thriller",6.4,50,"30,277"
Unorthodox,213 min,Drama,8.1,,"30,051"
Judy,118 min,"Biography, Drama, Romance",6.9,66,"29,843"
IO,96 min,"Adventure, Drama, Romance",4.7,40,"28,688"
Black Mirror,70 min,"Drama, Sci-Fi, Thriller",7.5,,"28,649"
Black Mirror,67 min,"Drama, Sci-Fi, Thriller",6.0,,"28,604"
Motherless Brooklyn,144 min,"Crime, Drama, Mystery",6.8,60,"28,334"
The Perfect Date,89 min,"Comedy, Romance",5.8,,"28,275"
I Am Not Okay with This,30 min,Comedy,7.6,,"28,210"
21 Bridges,99 min,"Action, Crime, Drama",6.6,51,"27,556"
Don't F**k with Cats: Hunting an Internet Killer,187 min,"Documentary, Crime, Mystery",8.1,,"27,396"
After,105 min,"Drama, Romance",5.4,30,"27,096"
Gully Boy,153 min,"Drama, Musical",8.2,65,"26,641"
Tolkien,112 min,"Biography, Drama, Romance",6.8,48,"26,429"
The Professor and the Madman,124 min,"Biography, Drama",7.3,25,"25,738"
Togo,113 min,"Adventure, Biography, Drama",8.1,69,"25,529"
The Stranger,42 min,"Mystery, Thriller",7.4,,"25,443"
Attack on Titan,24 min,"Animation, Action, Adventure",9.9,,"25,205"
Batwoman,45 min,"Action, Adventure, Crime",3.5,,"25,131"
Our Planet,403 min,Documentary,9.3,,"24,896"
Doom Patrol,60 min,"Action, Adventure, Comedy",8.0,,"24,451"
The Report,119 min,"Biography, Crime, Drama",7.2,66,"24,366"
Leaving Neverland,240 min,Documentary,7.0,,"24,213"
Eli,98 min,Horror,5.8,,"24,142"
The Wandering Earth,125 min,"Action, Drama, Sci-Fi",6.0,57,"24,057"
Just Mercy,137 min,"Biography, Crime, Drama",7.5,68,"24,003"
Code 8,98 min,"Action, Crime, Drama",6.1,48,"23,917"
Kabir Singh,173 min,"Crime, Drama, Romance",7.1,,"23,713"
The Spy,53 min,"Drama, History",7.9,,"23,392"
Chhapaak,120 min,"Biography, Drama",5.0,,"23,311"
Between Two Ferns: The Movie,82 min,Comedy,6.1,59,"23,115"
7 Kogustaki Mucize,132 min,Drama,8.3,,"22,922"
Abominable,97 min,"Animation, Adventure, Comedy",7.0,61,"22,168"
Kingdom,45 min,"Action, Drama, Horror",8.4,,"22,043"
Another Life,43 min,"Adventure, Drama, Mystery",4.9,,"21,783"
The Art of Self-Defense,104 min,"Comedy, Crime, Drama",6.7,65,"21,732"
Hunters,60 min,"Crime, Drama, Mystery",7.2,,"21,721"
Late Night,102 min,"Comedy, Drama",6.5,70,"21,719"
Spies in Disguise,102 min,"Animation, Adventure, Comedy",6.8,54,"21,637"
What We Do in the Shadows,30 min,"Comedy, Fantasy, Horror",8.4,,"21,559"
Living with Yourself,26 min,"Comedy, Drama",7.2,,"21,507"
The Aeronauts,100 min,"Action, Adventure, Biography",6.6,60,"20,730"
I Lost My Body,81 min,"Animation, Drama, Fantasy",7.6,80,"20,648"
The Prodigy,92 min,"Horror, Thriller",5.8,45,"20,590"
The Mandalorian,39 min,"Action, Adventure, Sci-Fi",8.7,,"20,497"
The Boy Who Harnessed the Wind,113 min,Drama,7.6,68,"20,441"
Stranger Things,77 min,"Drama, Fantasy, Horror",9.3,,"20,371"
Guns Akimbo,98 min,"Action, Comedy",6.3,42,"20,079"
Conversations with a Killer: The Ted Bundy Tapes,236 min,"Documentary, Biography, Crime",7.8,,"19,891"
The Addams Family,86 min,"Animation, Comedy, Family",5.8,46,"19,643"
A Rainy Day in New York,92 min,"Comedy, Romance",6.6,48,"19,550"
Official Secrets,112 min,"Biography, Crime, Drama",7.3,63,"19,488"
The Red Sea Diving Resort,129 min,"Drama, History, Thriller",6.5,,"19,474"
Dave Chappelle: Sticks & Stones,65 min,Comedy,8.5,,"19,436"
Kota Factory,45 min,"Comedy, Drama",9.1,,"19,238"
Close,94 min,"Action, Drama, Thriller",5.7,51,"18,865"
Badla,118 min,"Crime, Drama, Mystery",7.9,,"18,776"
The Call of the Wild,100 min,"Adventure, Drama, Family",6.8,47,"18,571"
The Dark Crystal: Age of Resistance,60 min,"Adventure, Drama, Family",8.5,,"18,558"
The Witcher,61 min,"Action, Adventure, Fantasy",8.4,,"18,557"
Article 15,130 min,"Crime, Drama",8.2,,"18,545"
The Family Man,45 min,"Action, Comedy, Drama",8.6,,"18,283"
Bharat,150 min,"Action, Comedy, Drama",5.3,,"18,273"
Missing Link,93 min,"Animation, Adventure, Comedy",6.7,68,"18,145"
The Mandalorian,31 min,"Action, Adventure, Sci-Fi",8.7,,"18,040"
What Men Want,117 min,"Comedy, Fantasy, Romance",5.2,49,"17,982"
Tanhaji: The Unsung Warrior,135 min,"Action, Biography, Drama",7.8,,"17,927"
Apollo 11,93 min,"Documentary, History",8.2,88,"17,926"
The Mandalorian,37 min,"Action, Adventure, Sci-Fi",9.1,,"17,862"
Dora and the Lost City of Gold,102 min,"Adventure, Comedy, Family",6.0,63,"17,838"
The Art of Racing in the Rain,109 min,"Comedy, Drama, Romance",7.5,43,"17,690"
Hanna,60 min,"Action, Drama",7.5,,"17,650"
Super 30,154 min,"Biography, Drama",8.0,,"17,439"
Chhichhore,143 min,"Comedy, Drama",8.0,,"17,412"
To All the Boys: P.S. I Still Love You,101 min,"Drama, Romance",6.0,54,"17,116"
Color Out of Space,111 min,"Horror, Sci-Fi",6.2,70,"17,054"
Honey Boy,94 min,Drama,7.3,73,"16,967"
Countdown,90 min,"Horror, Thriller",5.4,31,"16,959"
Mr. Robot,56 min,"Crime, Drama, Thriller",9.9,,"16,853"
